Year,Month,Day,BeginHour,Vp,Dp,Bz,Kp3,
2000.00,9.00,3.00,0.00,445.20,3.30,8.30,0.67,
2000.00,9.00,3.00,300.00,430.80,5.10,5.00,2.00,
2000.00,9.00,3.00,600.00,421.10,2.70,3.40,0.67,
2000.00,9.00,3.00,900.00,413.40,3.50,1.20,0.67,
2000.00,9.00,3.00,1200.00,399.20,2.60,0.20,1.33,
2000.00,9.00,3.00,1500.00,388.40,3.20,-1.50,1.67,
2000.00,9.00,3.00,1800.00,400.40,2.70,-4.10,3.00,
2000.00,9.00,3.00,2100.00,436.20,2.30,-2.00,2.67,
2000.00,9.00,4.00,0.00,447.40,2.50,-0.10,1.33,
2000.00,9.00,4.00,300.00,443.40,2.10,0.80,1.00,
2000.00,9.00,4.00,600.00,462.60,3.20,-1.40,1.67,
2000.00,9.00,4.00,900.00,442.70,2.70,1.10,1.67,
2000.00,9.00,4.00,1200.00,458.10,4.60,-0.10,2.67,
2000.00,9.00,4.00,1500.00,455.80,4.70,2.90,3.00,
2000.00,9.00,4.00,1800.00,477.70,7.30,-7.50,5.67,
2000.00,9.00,4.00,2100.00,447.10,8.10,-2.80,4.00,
2000.00,9.00,5.00,0.00,418.90,6.90,0.90,1.33,
2000.00,9.00,5.00,300.00,406.80,7.20,-1.30,1.67,
2000.00,9.00,5.00,600.00,396.30,5.50,2.40,1.33,
2000.00,9.00,5.00,900.00,377.20,4.20,0.80,1.00,
2000.00,9.00,5.00,1200.00,365.50,5.60,-2.30,1.33,
2000.00,9.00,5.00,1500.00,364.60,6.60,-5.30,2.33,
2000.00,9.00,5.00,1800.00,358.70,4.70,-5.60,3.00,
2000.00,9.00,5.00,2100.00,361.60,3.30,-0.30,2.33,
2000.00,9.00,6.00,0.00,372.10,4.80,-0.20,1.33,
2000.00,9.00,6.00,300.00,376.10,4.20,2.20,0.67,
2000.00,9.00,6.00,600.00,370.90,4.40,0.10,1.33,
2000.00,9.00,6.00,900.00,355.70,5.30,5.30,0.33,
2000.00,9.00,6.00,1200.00,368.80,6.10,-5.30,2.33,
2000.00,9.00,6.00,1500.00,384.40,6.30,-0.30,4.00,
2000.00,9.00,6.00,1800.00,472.40,20.50,-6.80,3.67,
2000.00,9.00,6.00,2100.00,474.80,3.10,7.90,4.00,
2000.00,9.00,7.00,0.00,479.50,3.90,-4.00,3.00,
2000.00,9.00,7.00,300.00,450.60,1.80,-7.60,2.67,
2000.00,9.00,7.00,600.00,459.90,1.10,-7.30,3.00,
2000.00,9.00,7.00,900.00,516.50,0.40,-8.40,2.67,
